Partitions,Message_size_in_Points,Dimensions,Total_Messages,Throughput_Rate,Producers,Wrangler_Producer_Nodes,Brokers,Data_Generation
48, 5000, 3, 2000, 33.328019, 1, 1, 1, 1
48, 5000, 3, 2000, 29.619122, 1, 1, 1, 1
48, 5000, 3, 2000, 32.241657, 1, 1, 1, 1
48, 5000, 3, 2000, 31.409972, 1, 1, 1, 1
48, 5000, 3, 2000, 30.313093, 1, 1, 1, 1
48, 5000, 3, 2000, 32.349710, 1, 1, 1, 1
48, 5000, 3, 2000, 34.324294, 1, 1, 1, 1
48, 5000, 3, 2000, 33.057226, 1, 1, 1, 1
48, 5000, 3, 2000, 30.549588, 4, 1, 1, 1
48, 5000, 3, 2000, 25.644904, 4, 1, 1, 1
48, 5000, 3, 2000, 28.233256, 4, 1, 1, 1
48, 5000, 3, 2000, 25.190233, 4, 1, 1, 1
48, 5000, 3, 2000, 29.528083, 4, 1, 1, 1
48, 5000, 3, 2000, 27.748786, 4, 1, 1, 1
48, 5000, 3, 2000, 27.624174, 4, 1, 1, 1
48, 5000, 3, 2000, 27.872036, 4, 1, 1, 1
48, 5000, 3, 2000, 34.087387, 4, 1, 1, 1
48, 5000, 3, 2000, 33.831375, 4, 1, 1, 1
48, 5000, 3, 2000, 33.962281, 4, 1, 1, 1
48, 5000, 3, 2000, 35.157955, 4, 1, 1, 1
48, 5000, 3, 2000, 35.423163, 4, 1, 1, 1
48, 5000, 3, 2000, 34.562367, 4, 1, 1, 1
48, 5000, 3, 2000, 33.965609, 4, 1, 1, 1
48, 5000, 3, 2000, 35.615856, 4, 1, 1, 1
48, 5000, 3, 2000, 35.313398, 4, 1, 1, 1
48, 5000, 3, 2000, 36.138677, 4, 1, 1, 1
48, 5000, 3, 2000, 34.456147, 4, 1, 1, 1
48, 5000, 3, 2000, 33.964808, 4, 1, 1, 1
48, 5000, 3, 2000, 34.785268, 4, 1, 1, 1
48, 5000, 3, 2000, 35.032562, 4, 1, 1, 1
48, 5000, 3, 2000, 33.607086, 4, 1, 1, 1
48, 5000, 3, 2000, 35.454899, 4, 1, 1, 1
48, 5000, 3, 2000, 31.529026, 4, 1, 1, 1
48, 5000, 3, 2000, 31.806356, 4, 1, 1, 1
48, 5000, 3, 2000, 31.483128, 4, 1, 1, 1
48, 5000, 3, 2000, 32.406231, 4, 1, 1, 1
48, 5000, 3, 2000, 32.427325, 4, 1, 1, 1
48, 5000, 3, 2000, 31.174787, 4, 1, 1, 1
48, 5000, 3, 2000, 32.393290, 4, 1, 1, 1
48, 5000, 3, 2000, 30.018255, 4, 1, 1, 1
48, 5000, 3, 2000, 28.049324, 8, 1, 1, 1
48, 5000, 3, 2000, 25.921919, 8, 1, 1, 1
48, 5000, 3, 2000, 26.558170, 8, 1, 1, 1
48, 5000, 3, 2000, 28.250529, 8, 1, 1, 1
48, 5000, 3, 2000, 28.690927, 8, 1, 1, 1
48, 5000, 3, 2000, 28.278113, 8, 1, 1, 1
48, 5000, 3, 2000, 29.630600, 8, 1, 1, 1
48, 5000, 3, 2000, 31.058977, 8, 1, 1, 1
48, 5000, 3, 2000, 33.247968, 8, 1, 1, 1
48, 5000, 3, 2000, 33.432490, 8, 1, 1, 1
48, 5000, 3, 2000, 35.227635, 8, 1, 1, 1
48, 5000, 3, 2000, 36.069883, 8, 1, 1, 1
48, 5000, 3, 2000, 35.858046, 8, 1, 1, 1
48, 5000, 3, 2000, 35.204247, 8, 1, 1, 1
48, 5000, 3, 2000, 34.465174, 8, 1, 1, 1
48, 5000, 3, 2000, 36.442723, 8, 1, 1, 1
48, 5000, 3, 2000, 34.287503, 8, 1, 1, 1
48, 5000, 3, 2000, 33.738949, 8, 1, 1, 1
48, 5000, 3, 2000, 34.162753, 8, 1, 1, 1
48, 5000, 3, 2000, 36.715994, 8, 1, 1, 1
48, 5000, 3, 2000, 35.237670, 8, 1, 1, 1
48, 5000, 3, 2000, 34.473603, 8, 1, 1, 1
48, 5000, 3, 2000, 35.418246, 8, 1, 1, 1
48, 5000, 3, 2000, 34.468660, 8, 1, 1, 1
48, 5000, 3, 2000, 34.290795, 8, 1, 1, 1
48, 5000, 3, 2000, 32.863614, 8, 1, 1, 1
48, 5000, 3, 2000, 34.351135, 8, 1, 1, 1
48, 5000, 3, 2000, 34.748682, 8, 1, 1, 1
48, 5000, 3, 2000, 33.770527, 8, 1, 1, 1
48, 5000, 3, 2000, 34.193919, 8, 1, 1, 1
48, 5000, 3, 2000, 34.511112, 8, 1, 1, 1
48, 5000, 3, 2000, 34.786070, 8, 1, 1, 1
48, 5000, 3, 2000, 32.882049, 8, 1, 1, 1
48, 5000, 3, 2000, 35.043319, 8, 1, 1, 1
48, 5000, 3, 2000, 35.392131, 8, 1, 1, 1
48, 5000, 3, 2000, 36.215622, 8, 1, 1, 1
48, 5000, 3, 2000, 35.204838, 8, 1, 1, 1
48, 5000, 3, 2000, 34.081555, 8, 1, 1, 1
48, 5000, 3, 2000, 34.089743, 8, 1, 1, 1
48, 5000, 3, 2000, 36.095809, 8, 1, 1, 1
48, 5000, 3, 2000, 34.576447, 8, 1, 1, 1
48, 5000, 3, 2000, 35.595156, 8, 1, 1, 1
48, 5000, 3, 2000, 35.666351, 8, 1, 1, 1
48, 5000, 3, 2000, 34.850659, 8, 1, 1, 1
48, 5000, 3, 2000, 36.180307, 8, 1, 1, 1
48, 5000, 3, 2000, 34.159144, 8, 1, 1, 1
48, 5000, 3, 2000, 35.168650, 8, 1, 1, 1
48, 5000, 3, 2000, 36.062339, 8, 1, 1, 1
48, 5000, 3, 2000, 32.745355, 8, 1, 1, 1
48, 5000, 3, 2000, 33.061077, 8, 1, 1, 1
48, 5000, 3, 2000, 34.142274, 8, 1, 1, 1
48, 5000, 3, 2000, 33.235510, 8, 1, 1, 1
48, 5000, 3, 2000, 33.028166, 8, 1, 1, 1
48, 5000, 3, 2000, 32.060324, 8, 1, 1, 1
48, 5000, 3, 2000, 33.614077, 8, 1, 1, 1
48, 5000, 3, 2000, 35.730847, 8, 1, 1, 1
48, 5000, 3, 2000, 34.756536, 8, 1, 1, 1
48, 5000, 3, 2000, 32.200730, 8, 1, 1, 1
48, 5000, 3, 2000, 33.655881, 8, 1, 1, 1
48, 5000, 3, 2000, 33.541839, 8, 1, 1, 1
48, 5000, 3, 2000, 34.483360, 8, 1, 1, 1
48, 5000, 3, 2000, 35.617696, 8, 1, 1, 1
48, 5000, 3, 2000, 32.627840, 8, 1, 1, 1
48, 5000, 3, 2000, 33.015318, 8, 1, 1, 1
